Scan REF	AF14.CEL	AF14.CEL	AF15.CEL	AF15.CEL	AF16.CEL	AF16.CEL	AF6.CEL	AF6.CEL	AF7.CEL	AF7.CEL	AF8.CEL	AF8.CEL
Composite Element REF	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call
Affymetrix:CompositeSequence:HG-U133A_2:203938_s_at	5.141433206	M	5.191209547	A	5.18110885	P	5.25956863	M	5.201792529	M	5.286362842	M
Affymetrix:CompositeSequence:HG-U133A_2:203939_at	3.183259823	A	3.187568634	A	3.17767233	A	3.162055249	A	3.195062652	A	3.184623784	A
Affymetrix:CompositeSequence:HG-U133A_2:203940_s_at	2.035886541	A	2.049578075	A	2.039662615	A	2.013638132	A	2.049607783	A	2.029035499	A
Affymetrix:CompositeSequence:HG-U133A_2:203941_at	6.883230829	P	6.523813406	P	6.851347978	P	6.623755699	P	6.327751662	P	6.726008189	P
Affymetrix:CompositeSequence:HG-U133A_2:203942_s_at	3.132228254	A	3.126390501	P	3.113966621	M	3.102885245	P	3.097082008	A	3.158989896	M
Affymetrix:CompositeSequence:HG-U133A_2:203943_at	7.436216591	P	7.37232235	P	6.614965729	P	7.166976582	P	7.18516969	P	6.601750114	P
Affymetrix:CompositeSequence:HG-U133A_2:203944_x_at	6.298511561	P	6.00442101	P	5.66208153	P	5.650197382	P	5.564480514	P	5.596419064	P
Affymetrix:CompositeSequence:HG-U133A_2:203945_at	6.13723304	P	6.148066672	P	6.145045721	P	6.116742389	P	6.382225054	P	5.89715734	P
Affymetrix:CompositeSequence:HG-U133A_2:203946_s_at	8.945069505	P	9.177984407	P	8.600532598	P	8.820960755	P	8.998912129	P	8.626909885	P
Affymetrix:CompositeSequence:HG-U133A_2:203947_at	8.3619155	P	8.141096319	P	8.411410797	P	8.332085048	P	8.148493052	P	8.302054818	P
Affymetrix:CompositeSequence:HG-U133A_2:203948_s_at	2.045811236	A	2.063191762	A	2.042969042	A	2.026369521	A	2.062286563	A	2.039007166	A
Affymetrix:CompositeSequence:HG-U133A_2:203949_at	2.395913958	A	2.417798034	A	2.394908242	A	2.372834801	A	2.418321493	A	2.389889717	A
Affymetrix:CompositeSequence:HG-U133A_2:203950_s_at	2.298633983	A	2.251514678	A	2.232674569	A	2.188707998	A	2.25213027	A	2.253014022	A
Affymetrix:CompositeSequence:HG-U133A_2:203951_at	2.050324849	A	2.064189218	A	2.047800391	A	2.033700527	A	2.064051848	A	2.04472606	A
Affymetrix:CompositeSequence:HG-U133A_2:203952_at	6.633297007	M	6.491861462	A	6.546323889	A	6.661405159	A	6.552890234	A	6.74177826	A
Affymetrix:CompositeSequence:HG-U133A_2:203953_s_at	5.966788054	A	5.662325317	A	6.346291865	M	6.041172212	M	5.862953194	M	6.329596592	M
Affymetrix:CompositeSequence:HG-U133A_2:203954_x_at	4.932914495	A	5.010100259	P	5.431903572	P	5.079369542	P	5.122060704	P	5.510190495	P
Affymetrix:CompositeSequence:HG-U133A_2:203955_at	5.980697514	P	5.769101007	P	5.729882152	P	5.973639182	P	6.320904655	P	6.21139376	P
Affymetrix:CompositeSequence:HG-U133A_2:203956_at	8.860098998	P	8.523629101	P	8.894390347	P	8.921753725	P	8.695442676	P	8.904501366	P
Affymetrix:CompositeSequence:HG-U133A_2:203957_at	9.303724123	P	9.158401075	P	9.207232072	P	9.224881142	P	9.167450182	P	9.159823349	P
Affymetrix:CompositeSequence:HG-U133A_2:203958_s_at	2.423714443	P	2.439875311	P	2.417043305	P	2.391328777	P	2.445497049	P	2.695217716	P
Affymetrix:CompositeSequence:HG-U133A_2:203959_s_at	5.992914665	P	6.14783843	P	6.155574062	P	6.629532199	P	6.176412678	P	6.633742363	P
Affymetrix:CompositeSequence:HG-U133A_2:203960_s_at	8.563857089	P	8.889959829	P	8.984096074	P	8.9004117	P	9.183228124	P	9.091586612	P
Affymetrix:CompositeSequence:HG-U133A_2:203961_at	7.099448287	P	5.818439647	P	5.533542597	P	6.748868127	P	4.833548474	P	5.461566808	P
Affymetrix:CompositeSequence:HG-U133A_2:203962_s_at	8.004431879	P	7.021198284	P	7.20104261	P	8.001451483	P	6.571377618	P	6.626917989	P
Affymetrix:CompositeSequence:HG-U133A_2:203963_at	2.034611906	A	2.053667983	A	2.031882669	A	2.020259666	A	2.047809536	A	2.028708167	A
Affymetrix:CompositeSequence:HG-U133A_2:203964_at	7.070900187	P	6.340122077	P	6.739361199	P	6.414519038	P	6.048751456	P	6.020977306	P
Affymetrix:CompositeSequence:HG-U133A_2:203965_at	2.633063372	P	2.655309841	A	2.633918646	M	2.51002588	A	2.653355985	A	2.75753417	A
Affymetrix:CompositeSequence:HG-U133A_2:203966_s_at	8.298857166	P	8.011952827	P	7.949977234	P	8.19378906	P	8.172424436	P	7.831939966	P
Affymetrix:CompositeSequence:HG-U133A_2:203967_at	8.08034605	P	7.31846051	P	7.911458873	P	8.098065394	P	7.347679105	P	8.088743555	P
Affymetrix:CompositeSequence:HG-U133A_2:203968_s_at	8.438850815	P	8.223093153	P	8.595261841	P	8.830087201	P	8.287141141	P	8.593230186	P
Affymetrix:CompositeSequence:HG-U133A_2:203969_at	3.670842589	P	3.582211242	P	3.814348579	P	3.610865078	P	3.671090282	P	3.651093411	P
Affymetrix:CompositeSequence:HG-U133A_2:203970_s_at	8.162084472	P	8.00684206	P	8.234420991	P	7.702488387	P	8.12002638	P	7.966727229	P
Affymetrix:CompositeSequence:HG-U133A_2:203971_at	7.787037849	P	7.827173828	P	7.801780499	P	7.776400561	P	7.813826821	P	7.798921412	P
Affymetrix:CompositeSequence:HG-U133A_2:203972_s_at	8.632566481	P	8.476010397	P	8.663423664	P	8.71446314	P	8.420588925	P	8.719800838	P
Affymetrix:CompositeSequence:HG-U133A_2:203973_s_at	6.101753332	P	8.977397801	P	8.997729944	P	6.07895295	P	8.697486642	P	8.660873958	P
Affymetrix:CompositeSequence:HG-U133A_2:203974_at	1.803975878	A	1.816200177	A	1.803611713	A	1.790046165	A	1.816594631	A	1.797295061	A
Affymetrix:CompositeSequence:HG-U133A_2:203975_s_at	6.44831138	P	6.404203719	P	6.338301503	P	6.505235254	P	6.140984477	P	6.3638006	P
Affymetrix:CompositeSequence:HG-U133A_2:203976_s_at	6.658319738	P	6.479831726	P	6.497925144	P	6.845118442	P	6.387190176	P	6.515532969	P
Affymetrix:CompositeSequence:HG-U133A_2:203977_at	2.437781317	A	2.44345168	A	2.433163541	A	2.424875847	A	2.450257776	A	2.431359159	A
Affymetrix:CompositeSequence:HG-U133A_2:203978_at	7.673841977	P	7.805581126	P	7.808373696	P	7.762538213	P	7.699537302	P	7.621140692	P
Affymetrix:CompositeSequence:HG-U133A_2:203979_at	2.100757843	A	2.122805667	A	2.094405197	A	2.078600967	A	2.120668339	A	2.093798551	A
Affymetrix:CompositeSequence:HG-U133A_2:203980_at	2.058952816	A	2.076411307	A	2.055525244	A	2.037264176	A	2.075321845	A	2.051967399	A
Affymetrix:CompositeSequence:HG-U133A_2:203981_s_at	7.215410642	P	7.230810913	P	7.165630434	P	7.239910007	P	7.230546322	P	7.212094118	P
Affymetrix:CompositeSequence:HG-U133A_2:203982_s_at	2.005167853	A	2.016514291	A	2.001835361	A	1.990116692	A	2.021615062	A	1.99910915	A
Affymetrix:CompositeSequence:HG-U133A_2:203983_at	9.474814341	P	9.241423237	P	9.273392702	P	9.189505327	P	9.22987234	P	9.149789014	P
Affymetrix:CompositeSequence:HG-U133A_2:203984_s_at	7.055515466	P	7.027167474	P	6.960180605	P	6.654956908	P	6.789395336	P	6.788049488	P
Affymetrix:CompositeSequence:HG-U133A_2:203985_at	6.660027181	P	6.828557895	P	6.660216887	P	6.706130439	P	6.74236646	P	6.788385338	P
Affymetrix:CompositeSequence:HG-U133A_2:203986_at	2.129983523	A	2.141914385	A	2.128542926	A	2.114113606	A	2.142675257	A	2.121633782	A
Affymetrix:CompositeSequence:HG-U133A_2:203987_at	7.255295958	P	7.419396117	P	6.611955278	P	6.430119562	P	6.922048235	P	6.07565821	P
Affymetrix:CompositeSequence:HG-U133A_2:203988_s_at	8.244740886	P	8.340068885	P	8.130483199	P	8.087495273	P	8.153565762	P	8.108473865	P
Affymetrix:CompositeSequence:HG-U133A_2:203989_x_at	2.865571341	A	2.879401548	A	2.847379968	A	2.814384069	A	2.887533221	P	2.852858235	A
Affymetrix:CompositeSequence:HG-U133A_2:203990_s_at	4.214231335	P	4.12948552	P	4.465285171	P	4.435187997	P	4.130140272	P	4.21356685	P
Affymetrix:CompositeSequence:HG-U133A_2:203991_s_at	5.559874212	P	5.547488263	P	4.864818197	P	5.251733476	P	5.512012636	P	5.399565469	P
Affymetrix:CompositeSequence:HG-U133A_2:203992_s_at	6.84491812	P	7.067382965	P	6.709430562	P	6.532704573	P	6.71630982	P	6.681553077	P
Affymetrix:CompositeSequence:HG-U133A_2:203993_x_at	1.701500414	A	1.714793461	A	1.699716724	A	1.688894214	A	1.716299671	A	1.695494849	A
Affymetrix:CompositeSequence:HG-U133A_2:203994_s_at	3.529483334	A	3.493877746	A	3.481334377	A	3.578544201	A	3.496225475	A	3.469049829	A
Affymetrix:CompositeSequence:HG-U133A_2:203995_at	2.139483154	A	2.144184803	A	2.13579612	A	2.130498955	A	2.149932557	A	2.133320309	A
Affymetrix:CompositeSequence:HG-U133A_2:203996_s_at	3.106860384	A	3.055478656	A	3.08489229	A	3.055646671	A	3.076324447	A	3.527511734	M
Affymetrix:CompositeSequence:HG-U133A_2:203997_at	7.752635816	P	7.437619304	P	7.496607352	P	7.579125768	P	7.418804202	P	7.431661676	P
Affymetrix:CompositeSequence:HG-U133A_2:203998_s_at	7.944089911	P	9.039889872	P	8.646691797	P	8.097593508	P	8.89170007	P	8.614815796	P
Affymetrix:CompositeSequence:HG-U133A_2:203999_at	10.29304624	P	11.05313401	P	10.93078012	P	10.19736589	P	10.81807373	P	10.89668685	P
Affymetrix:CompositeSequence:HG-U133A_2:204000_at	4.031925701	P	4.048029271	P	4.025796652	P	4.020359515	P	4.044649571	P	4.019264347	P
Affymetrix:CompositeSequence:HG-U133A_2:204001_at	6.668933659	P	6.725739233	P	6.66198185	P	6.63723449	P	6.666633088	P	6.659063565	P
Affymetrix:CompositeSequence:HG-U133A_2:204002_s_at	2.998200009	A	3.095678045	A	2.997964854	M	2.98445252	A	2.900486818	M	2.991412847	A
Affymetrix:CompositeSequence:HG-U133A_2:204003_s_at	7.557793499	P	7.670734999	P	7.463576173	P	7.554032616	P	7.415701483	P	7.294559183	P
Affymetrix:CompositeSequence:HG-U133A_2:204004_at	9.187468246	P	9.096383633	P	9.097744443	P	9.302569397	P	9.079403816	P	9.11838098	P
Affymetrix:CompositeSequence:HG-U133A_2:204005_s_at	9.835553622	P	9.989068038	P	9.660482943	P	9.743149815	P	10.1511975	P	9.834326091	P
Affymetrix:CompositeSequence:HG-U133A_2:204006_s_at	2.388960671	A	2.408770214	A	2.380381223	A	2.376362621	A	2.402614753	A	2.379597987	A
Affymetrix:CompositeSequence:HG-U133A_2:204007_at	2.295064602	A	2.308708954	A	2.292664732	A	2.27902012	A	2.312722121	A	2.288690715	A
Affymetrix:CompositeSequence:HG-U133A_2:204008_at	3.87540679	P	3.711859113	P	3.669572251	P	3.652595563	P	3.680118181	P	3.462503497	P
Affymetrix:CompositeSequence:HG-U133A_2:204009_s_at	10.82310054	P	10.7546429	P	10.68832284	P	10.4007799	P	10.70925858	P	10.50247219	P
Affymetrix:CompositeSequence:HG-U133A_2:204010_s_at	4.274929217	P	4.129215247	P	4.067890916	A	4.059774884	P	4.123682625	P	4.121160019	A
Affymetrix:CompositeSequence:HG-U133A_2:204011_at	9.005582171	P	8.639165788	P	8.722940461	P	8.590099764	P	8.403394064	P	8.496955379	P
Affymetrix:CompositeSequence:HG-U133A_2:204012_s_at	8.595299119	P	8.718032144	P	8.637704088	P	8.372108791	P	8.373832419	P	8.541952124	P
Affymetrix:CompositeSequence:HG-U133A_2:204013_s_at	2.218098097	A	2.230247807	A	2.212015075	A	2.202778892	A	2.23772795	A	2.208506194	A
Affymetrix:CompositeSequence:HG-U133A_2:204014_at	8.643562404	P	8.255459032	P	8.387942679	P	8.367249344	P	8.394824331	P	8.390763865	P
Affymetrix:CompositeSequence:HG-U133A_2:204015_s_at	8.082713825	P	8.002751564	P	8.229863793	P	8.052837858	P	7.948122385	P	8.327960123	P
Affymetrix:CompositeSequence:HG-U133A_2:204016_at	6.842262521	P	6.752420246	P	6.997360104	P	7.067723119	P	6.660092204	P	6.971220004	P
Affymetrix:CompositeSequence:HG-U133A_2:204017_at	9.176683595	P	9.215218543	P	9.310618146	P	9.55004726	P	9.490955503	P	9.538177983	P
Affymetrix:CompositeSequence:HG-U133A_2:204018_x_at	7.2989839	P	6.355548815	P	6.332935121	P	7.874870587	P	6.390958936	P	6.795191451	P
Affymetrix:CompositeSequence:HG-U133A_2:204019_s_at	8.823301766	P	8.892064456	P	9.147688548	P	8.515609682	P	8.479565116	P	8.791177328	P
Affymetrix:CompositeSequence:HG-U133A_2:204020_at	8.854518895	P	8.978630418	P	9.13924627	P	9.106577868	P	9.239594238	P	9.381018038	P
Affymetrix:CompositeSequence:HG-U133A_2:204021_s_at	6.816011969	P	6.466017578	P	6.787097033	P	6.904262257	P	6.737648835	P	6.86182492	P
Affymetrix:CompositeSequence:HG-U133A_2:204022_at	6.967669038	P	7.123460012	P	7.037614285	P	6.78877151	P	6.995382279	P	6.866089793	P
Affymetrix:CompositeSequence:HG-U133A_2:204023_at	10.48848533	P	10.38102846	P	10.29565998	P	10.44529991	P	10.25499361	P	10.27480199	P
Affymetrix:CompositeSequence:HG-U133A_2:204024_at	2.683211587	P	2.699235192	P	2.595194274	P	2.668834624	P	2.713176739	P	2.659507902	P
Affymetrix:CompositeSequence:HG-U133A_2:204025_s_at	8.32933068	P	8.148500196	P	8.287094812	P	8.174491	P	8.201791585	P	8.149163414	P
Affymetrix:CompositeSequence:HG-U133A_2:204026_s_at	11.11165378	P	11.14353113	P	11.14516971	P	11.11509176	P	10.9610844	P	11.02158155	P
Affymetrix:CompositeSequence:HG-U133A_2:204027_s_at	6.484328836	P	6.616983904	P	6.492020077	P	6.464239265	P	6.463436753	P	6.447340457	P
Affymetrix:CompositeSequence:HG-U133A_2:204028_s_at	7.426370163	P	6.968878221	P	7.52333339	P	7.543587896	P	6.774123649	P	7.308270366	P
Affymetrix:CompositeSequence:HG-U133A_2:204029_at	2.293318816	P	2.30393679	P	2.438548263	P	2.281875658	P	2.305805182	P	2.288563385	P
Affymetrix:CompositeSequence:HG-U133A_2:204030_s_at	7.175958515	P	7.676748056	P	7.255247666	P	6.860050848	P	7.805502695	P	7.19524888	P
Affymetrix:CompositeSequence:HG-U133A_2:204031_s_at	12.1729244	P	12.10507986	P	12.18854711	P	12.12847126	P	12.01139329	P	12.15757865	P
Affymetrix:CompositeSequence:HG-U133A_2:204032_at	6.526654344	P	6.322855494	P	6.307589836	P	5.932324008	P	6.309098354	P	6.134649217	P
Affymetrix:CompositeSequence:HG-U133A_2:204033_at	10.7340321	P	10.85528595	P	10.9446795	P	10.89154133	P	10.77876302	P	11.03825857	P
Affymetrix:CompositeSequence:HG-U133A_2:204034_at	9.560834424	P	9.819176799	P	9.845800001	P	9.479278702	P	9.761751331	P	9.926808955	P
Affymetrix:CompositeSequence:HG-U133A_2:204035_at	2.742128449	A	2.761150353	A	2.723359071	A	2.705562052	A	2.764005366	A	2.732234907	A
Affymetrix:CompositeSequence:HG-U133A_2:204036_at	2.157781532	A	2.167991088	A	2.15526059	M	2.135959014	A	2.170180704	A	2.151732133	A
Affymetrix:CompositeSequence:HG-U133A_2:204037_at	3.11786209	A	3.124937802	A	3.094450582	A	3.056687129	A	3.141491903	A	3.094232098	A
Affymetrix:CompositeSequence:HG-U133A_2:204038_s_at	2.440715331	P	2.457050586	P	2.439484496	P	2.442742937	P	2.453753234	A	2.414061703	P
Affymetrix:CompositeSequence:HG-U133A_2:204039_at	5.448410336	M	5.178845146	P	4.879001394	P	5.509523519	P	5.179026948	P	4.979279185	P
Affymetrix:CompositeSequence:HG-U133A_2:204040_at	1.894093404	A	1.904303342	A	1.889034781	A	1.881002822	A	1.905191336	A	1.888097069	A
Affymetrix:CompositeSequence:HG-U133A_2:204041_at	6.588019364	P	6.892024714	P	6.622716815	P	7.232971959	P	7.010667473	P	6.971686643	P
Affymetrix:CompositeSequence:HG-U133A_2:204042_at	7.620317582	P	8.569969722	P	8.226825634	P	7.901972545	P	8.757053403	P	8.584481716	P
Affymetrix:CompositeSequence:HG-U133A_2:204043_at	1.883986685	A	1.895288086	A	1.885600563	A	1.869826168	A	1.898333046	A	1.879050167	A
Affymetrix:CompositeSequence:HG-U133A_2:204044_at	2.005105532	A	2.022116472	A	2.002824385	A	1.98527207	A	2.020474597	A	1.999131868	A
Affymetrix:CompositeSequence:HG-U133A_2:204045_at	7.938549407	P	7.834770163	P	7.699844081	P	7.576218057	P	7.769313831	P	7.631262297	P
Affymetrix:CompositeSequence:HG-U133A_2:204046_at	1.952904058	A	1.961571581	A	1.949526662	A	1.938882037	A	1.965321439	A	1.945871649	A
Affymetrix:CompositeSequence:HG-U133A_2:204047_s_at	2.392015505	A	2.403047531	M	2.386620907	M	2.3791289	M	2.362331508	A	2.384662464	M
Affymetrix:CompositeSequence:HG-U133A_2:204048_s_at	5.937452892	P	5.987728336	P	6.169875172	P	6.197792121	P	5.983776686	P	5.963266084	P
Affymetrix:CompositeSequence:HG-U133A_2:204049_s_at	6.495763152	P	6.671839351	P	6.237926745	P	6.035249115	P	6.37687019	P	6.112522275	P
Affymetrix:CompositeSequence:HG-U133A_2:204050_s_at	11.15665555	P	11.03543385	P	11.08638391	P	11.17198234	P	10.93416468	P	11.09757012	P
Affymetrix:CompositeSequence:HG-U133A_2:204051_s_at	1.927166565	A	1.938469373	P	1.927502488	A	1.910227397	A	1.939467698	M	1.919941931	A
Affymetrix:CompositeSequence:HG-U133A_2:204052_s_at	2.31614203	A	2.337516332	A	2.310947532	A	2.285887479	A	2.337456473	A	2.309054082	A
Affymetrix:CompositeSequence:HG-U133A_2:204053_x_at	9.732233869	P	9.591162982	P	9.564663678	P	9.512816588	P	9.248791337	P	9.425649248	P
Affymetrix:CompositeSequence:HG-U133A_2:204054_at	5.694836634	P	5.533422274	P	5.347609612	P	5.330562011	P	4.925454675	P	5.315765868	P
Affymetrix:CompositeSequence:HG-U133A_2:204055_s_at	2.559932622	A	2.574017017	A	2.54527933	A	2.509503485	A	2.571297022	A	2.540971886	A
Affymetrix:CompositeSequence:HG-U133A_2:204056_s_at	3.840960979	A	3.659454902	A	4.012783711	P	5.234672551	P	4.043633385	M	4.011072164	A
Affymetrix:CompositeSequence:HG-U133A_2:204057_at	2.480641941	A	2.499737943	A	2.480561866	A	2.46771169	A	2.491530566	A	2.474766896	A
Affymetrix:CompositeSequence:HG-U133A_2:204058_at	7.204290679	P	6.694482847	P	6.685115684	P	7.163367645	P	7.047474078	P	6.378784425	P
Affymetrix:CompositeSequence:HG-U133A_2:204059_s_at	8.6024913	P	8.191013939	P	7.958301521	P	8.460512685	P	7.926324738	P	7.878759699	P
Affymetrix:CompositeSequence:HG-U133A_2:204060_s_at	5.845914019	P	6.839110804	P	7.079573072	P	4.898718517	M	6.561551371	P	7.009163279	P
Affymetrix:CompositeSequence:HG-U133A_2:204061_at	5.366182021	P	6.457375209	P	6.718316317	P	4.347951072	P	6.421043098	P	6.575499184	P
Affymetrix:CompositeSequence:HG-U133A_2:204062_s_at	3.959392652	P	4.046083992	P	3.737655606	P	2.984333508	P	3.201950589	P	3.233569934	P
Affymetrix:CompositeSequence:HG-U133A_2:204063_s_at	2.230009545	A	2.251833438	P	2.225790439	P	2.20026288	A	2.242576598	P	2.220865148	A
Affymetrix:CompositeSequence:HG-U133A_2:204064_at	8.834016374	P	8.696975489	P	8.623704544	P	8.591076465	P	8.462539246	P	8.291710767	P
Affymetrix:CompositeSequence:HG-U133A_2:204065_at	4.293445372	A	4.305138045	M	4.292107951	A	4.276577163	A	4.312605146	A	4.287803391	A
Affymetrix:CompositeSequence:HG-U133A_2:204066_s_at	6.099102491	P	6.647559405	P	6.993372604	P	6.390183048	P	6.827996291	P	6.802968226	P
Affymetrix:CompositeSequence:HG-U133A_2:204067_at	4.606212717	P	4.486950537	P	4.636622933	P	4.368851435	P	4.341420115	P	4.648098503	P
Affymetrix:CompositeSequence:HG-U133A_2:204068_at	7.438752366	P	7.430698012	P	7.368191912	P	7.350285638	P	7.170999218	P	7.173394332	P
Affymetrix:CompositeSequence:HG-U133A_2:204069_at	2.26431672	P	2.178126214	P	2.160220058	P	2.154014909	P	2.178181681	P	2.139023099	P
Affymetrix:CompositeSequence:HG-U133A_2:204070_at	2.399611871	A	2.417495139	A	2.396217919	A	2.381669565	A	2.424094281	A	2.394059689	A
Affymetrix:CompositeSequence:HG-U133A_2:204071_s_at	8.513731179	P	8.800631799	P	8.560864747	P	8.330274538	P	8.392593221	P	8.483710613	P
Affymetrix:CompositeSequence:HG-U133A_2:204072_s_at	2.31766476	A	2.336110545	A	2.313754419	A	2.295515404	A	2.333778706	A	2.311561687	A
Affymetrix:CompositeSequence:HG-U133A_2:204073_s_at	6.004347678	P	5.483040147	P	5.782463356	P	6.128095492	P	5.41771324	P	5.704816735	P
Affymetrix:CompositeSequence:HG-U133A_2:204074_s_at	6.200886052	P	6.300224146	P	6.691765961	P	6.514522327	P	6.442527199	P	6.833881552	P
Affymetrix:CompositeSequence:HG-U133A_2:204075_s_at	6.280993587	P	6.428216796	P	6.228408805	P	5.433999562	P	6.301820193	P	6.238074632	P
Affymetrix:CompositeSequence:HG-U133A_2:204076_at	7.857695844	P	7.50743576	P	7.317854815	P	7.763866465	P	7.801933021	P	7.49095171	P
Affymetrix:CompositeSequence:HG-U133A_2:204077_x_at	2.550961789	A	2.526976551	P	2.543085033	M	2.648534231	P	2.571579932	P	2.579106396	M
Affymetrix:CompositeSequence:HG-U133A_2:204078_at	6.197851263	P	5.45318433	P	5.719037664	P	5.883457316	P	5.645205783	P	5.704483533	P
Affymetrix:CompositeSequence:HG-U133A_2:204079_at	6.44822607	P	6.707830816	P	6.798258079	P	6.790575685	P	6.824201154	P	6.619257174	P
Affymetrix:CompositeSequence:HG-U133A_2:204080_at	7.714336861	P	7.308343179	P	7.298179377	P	7.502045418	P	6.976178474	P	7.41843448	P
Affymetrix:CompositeSequence:HG-U133A_2:204081_at	2.028164076	A	2.042258387	A	2.023937102	A	2.017045157	A	2.042318639	A	2.022249665	A
Affymetrix:CompositeSequence:HG-U133A_2:204082_at	4.205447105	P	5.499217278	P	5.124822842	P	4.913602313	P	5.318292214	P	5.066069358	P
Affymetrix:CompositeSequence:HG-U133A_2:204083_s_at	2.455211067	A	2.478951613	A	2.450426767	A	2.423471108	A	2.47950065	A	2.448944167	A
Affymetrix:CompositeSequence:HG-U133A_2:204084_s_at	6.219343517	P	6.096363798	P	5.939034971	P	5.43657527	P	5.628383686	P	5.890731339	P
Affymetrix:CompositeSequence:HG-U133A_2:204085_s_at	4.76664548	P	4.576033879	P	4.251416902	P	3.817239055	P	3.573063877	P	3.704068972	P
Affymetrix:CompositeSequence:HG-U133A_2:204086_at	2.115557949	A	2.125021946	A	2.113096579	A	2.100908374	A	2.127781948	A	2.10804807	A
Affymetrix:CompositeSequence:HG-U133A_2:204087_s_at	9.473917314	P	9.171236503	P	9.027956527	P	9.590793275	P	9.168805281	P	9.040528604	P
Affymetrix:CompositeSequence:HG-U133A_2:204088_at	2.569257822	P	2.466618081	P	2.568674926	P	2.437211743	P	2.676104054	P	2.563027979	M
Affymetrix:CompositeSequence:HG-U133A_2:204089_x_at	6.96464369	P	6.890430843	P	6.889335745	P	6.861218691	P	6.631633098	P	6.765625532	P
Affymetrix:CompositeSequence:HG-U133A_2:204090_at	6.837050164	P	6.722872839	P	6.46172967	P	6.540094241	P	6.561607758	P	6.28126802	M
Affymetrix:CompositeSequence:HG-U133A_2:204091_at	8.396086705	P	7.968228765	P	7.716960721	P	7.913712931	P	7.751471429	P	7.46702641	P
Affymetrix:CompositeSequence:HG-U133A_2:204092_s_at	9.537827849	P	9.532431357	P	9.512403016	P	9.421408748	P	9.271731231	P	9.476263658	P
Affymetrix:CompositeSequence:HG-U133A_2:204093_at	10.74050261	P	10.48317484	P	10.57752157	P	10.59347065	P	10.29515093	P	10.58967045	P
Affymetrix:CompositeSequence:HG-U133A_2:204094_s_at	6.215086906	P	6.713838833	P	6.510920097	P	6.257686042	P	7.031318774	P	6.694431808	P
Affymetrix:CompositeSequence:HG-U133A_2:204095_s_at	2.709751595	P	2.70218247	M	3.27401189	P	3.165510351	P	2.687544562	P	2.753100548	P
Affymetrix:CompositeSequence:HG-U133A_2:204096_s_at	2.980856796	M	2.992986094	P	2.980001629	P	2.935167126	A	2.9952169	A	2.97508575	A
Affymetrix:CompositeSequence:HG-U133A_2:204097_s_at	7.21310184	P	7.095215337	P	7.047201475	P	7.182396276	P	6.878421791	P	7.077895072	P
Affymetrix:CompositeSequence:HG-U133A_2:204098_at	5.257161587	P	5.178773438	P	4.95650109	P	4.918938488	P	5.051299922	P	4.943748438	P
Affymetrix:CompositeSequence:HG-U133A_2:204099_at	2.102366562	A	2.11639442	A	2.100714402	A	2.086108828	A	2.116317808	A	2.097154871	A
Affymetrix:CompositeSequence:HG-U133A_2:204100_at	2.018992512	A	2.032252503	A	2.019289391	A	2.002910882	A	2.031496184	A	2.012897472	A
Affymetrix:CompositeSequence:HG-U133A_2:204101_at	3.363205958	A	3.355580557	A	3.322157219	A	3.222813281	A	3.361553386	A	3.324226178	A
Affymetrix:CompositeSequence:HG-U133A_2:204102_s_at	13.04614486	P	13.02337141	P	12.97789077	P	13.05814962	P	13.02676664	P	12.88747571	P
Affymetrix:CompositeSequence:HG-U133A_2:204103_at	1.917085404	A	1.933302924	A	1.916583052	A	1.898615223	A	1.929227379	A	1.911467024	A
Affymetrix:CompositeSequence:HG-U133A_2:204104_at	2.995477047	P	2.814402756	P	2.80119642	M	2.796269878	P	2.8226389	P	2.798123926	P
Affymetrix:CompositeSequence:HG-U133A_2:204105_s_at	2.483637109	A	2.496549629	A	2.482718119	A	2.466664129	A	2.499009578	A	2.477890936	A
Affymetrix:CompositeSequence:HG-U133A_2:204106_at	6.249666558	P	6.198555441	P	6.440790827	P	6.448555433	P	6.426638636	P	6.532203845	P
Affymetrix:CompositeSequence:HG-U133A_2:204107_at	4.897750357	P	4.900836533	P	4.925912361	P	4.875202218	A	4.904445073	P	4.865283668	P
Affymetrix:CompositeSequence:HG-U133A_2:204108_at	5.386191631	P	5.055835561	P	4.692967978	P	4.771263573	P	4.785009332	P	4.859591147	P
Affymetrix:CompositeSequence:HG-U133A_2:204109_s_at	3.930460475	P	3.953617707	P	3.94922573	P	3.82467735	M	3.956609869	M	4.109158533	P
Affymetrix:CompositeSequence:HG-U133A_2:204110_at	2.259284549	A	2.274191917	A	2.255953271	A	2.230719216	A	2.275766838	A	2.253941368	A
Affymetrix:CompositeSequence:HG-U133A_2:204111_at	3.179414852	A	3.171051216	A	3.150534823	A	3.097306852	A	3.176259578	A	3.153930081	A
Affymetrix:CompositeSequence:HG-U133A_2:204112_s_at	2.895810176	A	2.908760169	A	2.896808738	A	2.882609303	A	2.918132898	A	2.885817832	A
Affymetrix:CompositeSequence:HG-U133A_2:204113_at	7.451414342	P	7.474018516	P	7.706286487	P	7.672144031	P	7.432899056	P	7.603534217	P
