Scan REF	AF14.CEL	AF14.CEL	AF15.CEL	AF15.CEL	AF16.CEL	AF16.CEL	AF6.CEL	AF6.CEL	AF7.CEL	AF7.CEL	AF8.CEL	AF8.CEL
Composite Element REF	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call
Affymetrix:CompositeSequence:HG-U133A_2:31874_at	8.072208588	P	7.267511247	P	7.74724234	P	7.832027234	P	7.354311438	P	7.790286001	P
Affymetrix:CompositeSequence:HG-U133A_2:32029_at	3.827795374	P	3.843375051	P	3.806136839	P	3.882729537	P	3.844153305	P	3.825946244	P
Affymetrix:CompositeSequence:HG-U133A_2:32032_at	6.288705755	P	6.528391214	P	6.344814324	P	6.319714783	P	6.334997179	P	6.260337726	P
Affymetrix:CompositeSequence:HG-U133A_2:32042_at	7.099346187	P	7.18013154	P	7.239413607	P	7.073502517	P	7.193778082	P	7.178997234	P
Affymetrix:CompositeSequence:HG-U133A_2:32062_at	6.13836249	P	6.212740466	P	5.987465102	P	6.288797888	P	6.245648711	P	6.255123026	P
Affymetrix:CompositeSequence:HG-U133A_2:32069_at	7.641600335	P	7.695854289	P	7.632836182	P	7.469035225	P	7.668108219	P	7.734726287	P
Affymetrix:CompositeSequence:HG-U133A_2:32088_at	4.532405306	P	4.501124685	P	4.195514808	P	4.148945183	P	4.341376152	P	4.126957214	P
Affymetrix:CompositeSequence:HG-U133A_2:32091_at	7.337416498	P	7.136126631	P	7.033719137	P	7.106234534	P	7.142673648	P	7.146833285	P
Affymetrix:CompositeSequence:HG-U133A_2:32094_at	2.082795046	A	2.095222017	A	2.080067185	M	2.069339606	A	2.114429609	P	2.07788802	P
Affymetrix:CompositeSequence:HG-U133A_2:32099_at	8.159993552	P	8.167770484	P	8.161020783	P	8.188777018	P	8.167681503	P	8.372536322	P
Affymetrix:CompositeSequence:HG-U133A_2:32128_at	2.492751573	A	2.500628669	A	2.471989309	A	2.443650163	A	2.50051558	A	2.472326285	A
Affymetrix:CompositeSequence:HG-U133A_2:32137_at	9.257531331	P	8.246698735	P	8.673017785	P	9.446971985	P	8.623740453	P	9.036266533	P
Affymetrix:CompositeSequence:HG-U133A_2:32209_at	6.97460207	P	7.125578683	P	6.925238856	P	6.95186934	P	7.171216307	P	6.974491573	P
Affymetrix:CompositeSequence:HG-U133A_2:32259_at	5.461654509	P	5.832518835	P	5.537121666	P	5.523558857	P	5.658128841	P	5.64897175	P
Affymetrix:CompositeSequence:HG-U133A_2:32402_s_at	5.071018462	P	5.044888859	P	5.033801339	P	5.053258859	P	5.012473468	P	4.998051068	P
Affymetrix:CompositeSequence:HG-U133A_2:32502_at	3.24861884	A	3.259501959	P	3.168825109	A	3.24545331	M	3.173246614	A	3.33277668	A
Affymetrix:CompositeSequence:HG-U133A_2:32540_at	2.382712249	P	2.395185653	P	2.377403343	P	2.368891522	P	2.395043214	P	2.37759256	P
Affymetrix:CompositeSequence:HG-U133A_2:32541_at	6.267171038	P	6.447598375	P	6.026161156	P	5.993389686	P	6.375099286	P	6.257067447	P
Affymetrix:CompositeSequence:HG-U133A_2:32625_at	2.57124498	A	2.59124225	A	2.572987313	A	2.547067288	A	2.59444298	A	2.575018988	A
Affymetrix:CompositeSequence:HG-U133A_2:32699_s_at	5.5080418	P	5.288346356	P	5.402370998	P	5.802745128	P	5.442609706	P	5.714398048	P
Affymetrix:CompositeSequence:HG-U133A_2:32723_at	8.779228296	P	8.758423204	P	8.640575779	P	8.554360793	P	8.70609035	P	8.576111812	P
Affymetrix:CompositeSequence:HG-U133A_2:32811_at	1.82641811	P	1.844371387	P	1.835548643	P	1.802382654	P	1.845619905	P	1.834980988	P
Affymetrix:CompositeSequence:HG-U133A_2:32836_at	6.164306285	P	5.976056055	P	6.09423029	P	6.420687583	P	6.004383276	P	6.086015275	P
Affymetrix:CompositeSequence:HG-U133A_2:32837_at	9.045511065	P	8.516025217	P	8.63934009	P	9.278360523	P	8.739189969	P	8.787474595	P
Affymetrix:CompositeSequence:HG-U133A_2:33132_at	6.395038777	P	6.181812838	P	6.372030398	P	6.369876268	P	6.397460029	P	6.390457849	P
Affymetrix:CompositeSequence:HG-U133A_2:33148_at	6.850447042	P	6.814614215	P	6.745960682	P	6.740509867	P	6.935645459	P	6.564336973	P
Affymetrix:CompositeSequence:HG-U133A_2:33197_at	2.078637981	A	2.092215702	A	2.082086996	P	2.068651686	M	2.092578614	A	2.076547011	P
Affymetrix:CompositeSequence:HG-U133A_2:33304_at	3.084072354	A	3.105819837	A	3.287460871	A	2.737229555	A	3.105681993	A	3.36607507	A
Affymetrix:CompositeSequence:HG-U133A_2:33307_at	7.158488397	P	7.077582494	P	7.263337151	P	7.216189959	P	7.141000406	P	7.230184226	P
Affymetrix:CompositeSequence:HG-U133A_2:33322_i_at	13.81801685	P	13.90802324	P	13.90021891	P	13.96996131	P	13.8974698	P	14.04570204	P
Affymetrix:CompositeSequence:HG-U133A_2:33323_r_at	13.49668555	P	13.57290874	P	13.57721938	P	13.58321624	P	13.67206271	P	13.69570188	P
Affymetrix:CompositeSequence:HG-U133A_2:33494_at	6.972020151	P	6.75385974	P	6.460271243	P	6.905973631	P	6.497291378	P	6.614447156	P
Affymetrix:CompositeSequence:HG-U133A_2:33579_i_at	1.145133266	A	1.158650055	A	1.140304352	A	1.133049926	A	1.15535907	A	1.141508383	A
Affymetrix:CompositeSequence:HG-U133A_2:33646_g_at	2.571821342	P	2.634565852	P	2.896414915	P	2.583642103	P	2.613271451	P	2.584774815	P
Affymetrix:CompositeSequence:HG-U133A_2:33736_at	5.07715036	P	5.14567963	P	4.878317279	P	4.910606229	P	4.935459256	P	4.917043751	P
Affymetrix:CompositeSequence:HG-U133A_2:33760_at	8.467058545	P	8.216826757	P	8.256731197	P	8.308695117	P	8.290637739	P	7.933111466	P
Affymetrix:CompositeSequence:HG-U133A_2:33767_at	2.72416571	A	2.741121605	A	2.706212148	A	2.68311985	A	2.744668365	A	2.720549609	A
Affymetrix:CompositeSequence:HG-U133A_2:33768_at	2.093577708	P	2.108280381	P	2.090767191	P	2.099802657	P	2.117508286	P	2.091056941	P
Affymetrix:CompositeSequence:HG-U133A_2:33778_at	7.703326993	P	7.555244973	P	7.522783453	P	7.51178307	P	7.531200092	P	7.311242931	P
Affymetrix:CompositeSequence:HG-U133A_2:33814_at	7.749290678	P	7.846680518	P	7.800286563	P	7.596360387	P	7.639929152	P	7.859228298	P
Affymetrix:CompositeSequence:HG-U133A_2:33850_at	4.101155547	P	3.83349146	P	3.897011127	P	3.973242157	P	3.895874329	P	3.897102896	P
Affymetrix:CompositeSequence:HG-U133A_2:34031_i_at	9.948778018	P	10.02817665	P	9.816565779	P	9.725800542	P	9.898402615	P	9.566955203	P
Affymetrix:CompositeSequence:HG-U133A_2:34063_at	2.987348676	P	3.028084439	P	2.982785198	P	2.963035425	A	2.997377859	P	2.979443998	M
Affymetrix:CompositeSequence:HG-U133A_2:34187_at	3.674461095	A	3.693122384	P	3.716420094	P	3.680413614	P	3.694532135	P	3.714307541	P
Affymetrix:CompositeSequence:HG-U133A_2:34206_at	3.247210192	M	3.249963245	P	3.186741855	P	3.229183062	P	3.340274363	P	3.235466885	P
Affymetrix:CompositeSequence:HG-U133A_2:34210_at	2.769333339	A	2.775875051	A	2.752058862	A	2.727510094	A	2.774336459	A	2.752470394	A
Affymetrix:CompositeSequence:HG-U133A_2:34221_at	6.432615421	P	6.279388738	P	6.365107632	P	6.732776116	P	6.356670272	P	6.37353612	P
Affymetrix:CompositeSequence:HG-U133A_2:34225_at	7.285933457	P	7.182830502	P	7.195357344	P	6.898085167	P	7.218186707	P	7.086465122	P
Affymetrix:CompositeSequence:HG-U133A_2:34260_at	3.425601954	P	3.505138433	P	3.61452147	P	3.733834566	P	3.633837102	P	3.861798926	P
Affymetrix:CompositeSequence:HG-U133A_2:34406_at	6.004299784	P	5.97325025	P	6.017042941	P	5.970732325	P	5.771305931	P	5.957039308	P
Affymetrix:CompositeSequence:HG-U133A_2:34408_at	4.236125021	P	4.16749077	P	4.149245604	P	4.547096526	P	4.160522126	P	4.188002482	P
Affymetrix:CompositeSequence:HG-U133A_2:34449_at	3.382708897	P	3.3695384	P	3.381661002	P	3.455817913	P	3.400193924	P	3.386131685	P
Affymetrix:CompositeSequence:HG-U133A_2:34471_at	2.445174598	A	2.451217135	A	2.429993067	A	2.41842666	A	2.455569311	A	2.433824434	A
Affymetrix:CompositeSequence:HG-U133A_2:34478_at	3.094701127	P	3.08485828	P	3.086495566	P	3.078324204	P	3.110279368	P	3.077826	P
Affymetrix:CompositeSequence:HG-U133A_2:34689_at	2.327213928	A	2.33827765	A	2.322577484	A	2.313540202	A	2.341080299	A	2.320324655	A
Affymetrix:CompositeSequence:HG-U133A_2:34697_at	5.512191239	P	5.517158891	P	5.386768552	P	5.395323269	P	5.537118098	P	5.476512752	P
Affymetrix:CompositeSequence:HG-U133A_2:34726_at	3.201267342	P	3.588761792	P	3.548001934	P	3.298533993	P	3.412630477	P	3.30633542	P
Affymetrix:CompositeSequence:HG-U133A_2:34764_at	8.603336368	P	8.552655896	P	8.558962371	P	8.718625902	P	8.492032245	P	8.623572093	P
Affymetrix:CompositeSequence:HG-U133A_2:34846_at	2.251935167	P	2.246727103	A	2.234812268	P	2.222246539	A	2.250823852	P	2.233076032	P
Affymetrix:CompositeSequence:HG-U133A_2:34858_at	3.973438112	P	3.8502323	P	3.881652582	P	3.738494924	P	3.753961125	P	3.856154878	P
Affymetrix:CompositeSequence:HG-U133A_2:34868_at	7.55233403	P	7.746691153	P	7.347110525	P	7.274444929	P	7.422321115	P	7.373455653	P
Affymetrix:CompositeSequence:HG-U133A_2:35147_at	3.174213988	P	1.631470287	P	1.617348084	P	2.439586919	P	1.632456054	A	1.613516837	A
Affymetrix:CompositeSequence:HG-U133A_2:35148_at	2.849311336	A	2.873354349	A	2.845614313	M	2.816771198	A	2.892524251	A	2.843000974	A
Affymetrix:CompositeSequence:HG-U133A_2:35150_at	2.236033376	P	2.203967193	P	2.166842027	P	2.167493588	P	2.211257169	P	2.17824123	P
Affymetrix:CompositeSequence:HG-U133A_2:35156_at	8.106181702	P	7.93501514	P	7.912246254	P	7.897286325	P	7.794473852	P	7.995548605	P
Affymetrix:CompositeSequence:HG-U133A_2:35160_at	3.498209049	P	3.496444156	P	3.4821618	M	3.472193314	P	3.497851789	P	3.479332012	P
Affymetrix:CompositeSequence:HG-U133A_2:35179_at	4.132297401	P	4.067320064	P	4.041951841	P	4.45090505	P	4.559937524	P	4.177300221	P
Affymetrix:CompositeSequence:HG-U133A_2:35201_at	7.702548176	P	7.134190667	P	7.811846358	P	7.601219763	P	7.675405406	P	7.61228166	P
Affymetrix:CompositeSequence:HG-U133A_2:35254_at	5.026224024	P	5.037060133	P	5.036409616	P	4.963033598	P	5.02805184	P	5.103788394	P
Affymetrix:CompositeSequence:HG-U133A_2:35265_at	6.757330423	P	6.95534945	P	6.838714329	P	6.791259719	P	7.101489544	P	7.18767489	P
Affymetrix:CompositeSequence:HG-U133A_2:35436_at	4.712377852	P	4.694752204	P	4.851843254	P	4.707682702	P	4.706653184	P	4.812484091	P
Affymetrix:CompositeSequence:HG-U133A_2:35617_at	2.316412845	A	2.334187936	A	2.321705596	A	2.305524045	A	2.350362023	M	2.314186691	A
Affymetrix:CompositeSequence:HG-U133A_2:35626_at	2.333091906	A	2.342810047	A	2.329786119	A	2.31786458	A	2.344796435	A	2.327488134	A
Affymetrix:CompositeSequence:HG-U133A_2:35666_at	8.734024142	P	7.605766174	P	7.31582834	P	8.831169373	P	7.831684458	P	7.752343704	P
Affymetrix:CompositeSequence:HG-U133A_2:35671_at	6.437622826	P	6.377977478	P	6.487927363	P	6.752233212	P	6.419349594	P	6.528801512	P
Affymetrix:CompositeSequence:HG-U133A_2:35685_at	7.20239381	P	6.894344169	P	6.957416662	P	7.062920267	P	6.70905131	P	6.993987935	P
Affymetrix:CompositeSequence:HG-U133A_2:35776_at	5.122986409	P	5.268384353	P	5.324086034	P	5.032821366	P	5.276760431	P	5.362682509	P
Affymetrix:CompositeSequence:HG-U133A_2:35820_at	4.807064312	P	4.955614212	P	5.085721389	P	4.847273104	P	4.902656687	P	4.867326461	P
Affymetrix:CompositeSequence:HG-U133A_2:35846_at	2.415156289	A	2.438629935	A	2.395190285	A	2.401503412	A	2.481248557	A	2.394079053	A
Affymetrix:CompositeSequence:HG-U133A_2:35974_at	2.770207863	A	2.789934001	A	2.765296229	A	2.749201215	A	2.790891036	A	2.762955613	A
Affymetrix:CompositeSequence:HG-U133A_2:36004_at	1.080758649	A	1.104365798	A	1.090903313	A	1.078901579	A	1.105213304	P	1.088361466	A
Affymetrix:CompositeSequence:HG-U133A_2:36019_at	6.019957795	P	5.701032246	P	5.47933937	P	5.46077406	P	5.462275296	P	5.289384332	P
Affymetrix:CompositeSequence:HG-U133A_2:36030_at	2.017063021	A	2.030348794	A	2.012342881	A	2.001978456	A	2.026667472	A	2.009361132	A
Affymetrix:CompositeSequence:HG-U133A_2:36084_at	4.11022234	P	4.017685532	P	4.052813061	P	4.025863351	A	4.077396881	P	4.051398874	P
Affymetrix:CompositeSequence:HG-U133A_2:36129_at	5.56675615	P	5.544398081	P	5.740941464	P	5.622173984	P	5.631728454	A	5.724576054	P
Affymetrix:CompositeSequence:HG-U133A_2:36475_at	4.243792813	P	4.26247757	P	4.271964383	P	4.237365104	P	4.272667626	P	4.244379895	P
Affymetrix:CompositeSequence:HG-U133A_2:36499_at	4.093188072	P	4.156357231	P	4.225188199	P	4.130066307	P	4.164668683	P	4.043191045	P
