row.ID	name	LB_crp	LB_crp_cysB	LB_crp_fruR	LB_crp_fur	LB_cysB	LB_fruR	LB_fur	LBG_crp	LBG_crp_cysB	LBG_crp_fruR	LBG_crp_fur	LBG_cysB	LBG_fruR	LBG_fur	LBG_wt	LB_wt
aas_b2836_at	aas_b2836_at	6.30927963414562	6.5264005397548	6.77444827595778	6.68840836314956	6.5506951024443	6.42486346694293	6.46847465481882	6.60865297518924	7.12915196034159	7.13399727255671	6.99390144533248	6.8135021627365	6.53960755808071	6.63640605870091	6.42750322807029	6.58817120201921
aat_b0885_at	aat_b0885_at	7.22831958343642	7.25209785350922	7.10619332871877	7.23889726044994	7.06297371946147	6.7023369430035	6.963379979851	7.03887355490187	7.15239440968103	7.24468454106124	7.25002384120441	7.25476578382757	6.96718748627597	6.96473127296267	6.71818914280471	7.22733667538075
abc_b0199_at	abc_b0199_at	6.8786743716713	6.60310999140199	6.74780552881731	6.78229472928659	6.72458892925173	6.91961657842595	6.40757998012773	6.88851896104426	6.8023077079352	6.77744151429883	6.92561894815284	7.04966240287497	6.94746194086336	6.70946707803344	6.86621559074423	6.72437516313368
abrB_b0715_at	abrB_b0715_at	7.0023780921212	6.7987694308152	6.78563305085839	6.89345682106818	6.87232496706611	7.10936513287336	6.71865250481883	6.72204004747182	6.52010199849832	6.4197872129254	6.51242134194981	6.57668114254157	6.60900802118042	6.63905238782036	6.52514308543396	6.7705637758907
accA_b0185_at	accA_b0185_at	8.34455069251503	7.51369499721331	8.33395335751991	8.01631041539296	8.22783052991245	8.37516276659134	8.2704408666208	8.17430536606077	7.90152452942762	8.36034589211904	8.00431291165234	8.26049128367301	8.30540761730135	8.12564525701892	8.48597278253282	8.43232936854643
accB_b3255_at	accB_b3255_at	8.4806557409065	7.00807183255659	8.10406205149936	7.65671085902015	8.73794663865432	8.18389975724618	7.99437600102196	8.77783533983314	8.1045186627628	8.32901779711657	7.92911770662206	9.04491282308086	8.87184171734573	8.61680389284957	9.04888823063356	8.16104078911919
accC_b3256_at	accC_b3256_at	8.56648528683887	7.05651087507307	7.8236593844152	7.75496661017798	8.7986903723352	8.29688593255942	8.18991700907083	8.49773048952243	7.51107787932619	7.7448461538977	7.63040897934692	8.51409657605397	8.61526275364717	8.46880182797857	8.94802887594292	8.08989458385121
accD_b2316_at	accD_b2316_at	8.20175151573946	7.49859021927756	8.1063643526506	7.80586739086505	8.1079498959858	8.04926973242162	7.8790919772322	8.35149592408143	8.12819794852177	8.22513676161168	8.03296728553497	8.2484839670171	8.28917921368185	8.13455629841741	8.28449398102606	7.9014455909581
aceA_b4015_at	aceA_b4015_at	7.33400439270983	9.45488136164838	8.44547153776448	9.13749721849194	7.53764661553387	7.48562018491387	9.17460920520755	6.61795540168816	8.7519136809145	8.21889270870279	8.91072075499665	6.9088257855995	6.39110690500809	6.68218418175598	6.7116089245581	8.84615181032582
aceB_b4014_at	aceB_b4014_at	6.87100111773112	8.92345023744077	8.26947047173942	9.0301491939726	6.93017039970294	7.63292611696835	8.75994130164369	6.52027445480989	8.68169986473215	8.4084139637405	8.891169171502	6.77188958331443	6.58866266346605	6.72221936405397	6.71065474820953	8.3575303402589
aceE_b0114_at	aceE_b0114_at	9.1352551286373	7.85158675929585	8.48591174470236	8.64185609542556	9.3155758809487	9.3165485989471	8.34842837698135	9.2882567894633	7.87899627502893	8.50903296515363	8.3503637770846	9.4755431548139	9.70479455490837	9.3128840121681	9.55372984737831	8.06096566500231
aceF_b0115_at	aceF_b0115_at	9.33786662942358	8.22180027959619	8.77547064757071	8.82601975651489	9.71511447297073	9.87117595147482	8.87387825970976	9.52608644542155	8.36542952490679	8.78390792511918	8.42269298523522	9.74357055384037	10.0271243951195	9.08768908060831	9.79838933854458	8.7835175059656
aceK_b4016_at	aceK_b4016_at	6.04222355995997	6.34348212625726	6.43998412087611	6.54693962457402	6.06217696208951	6.41012591080715	6.54384246057926	6.28898572058991	6.59402842427962	6.5067252254391	6.7435358600067	6.32036535492661	6.41961613206747	6.32626696550285	6.33653111890793	6.62894440763138
ackA_b2296_at	ackA_b2296_at	8.89491908399661	7.7691923388749	7.65977195679183	7.61874655764476	9.00448073656882	8.73709739094392	8.49810611376928	8.5290075740083	7.83560104650569	7.7436805201355	7.8038376606512	8.94193806331751	9.00873247747694	8.84052212060089	8.86990618282705	8.1780535032681
acnA_b1276_at	acnA_b1276_at	7.07308198922012	7.83983385794828	7.66726661980133	7.5562724531922	7.14226054417989	7.32077584034965	7.28831466991481	6.93268090278322	7.59789508046076	7.78124155330501	7.68685091486881	6.97302926600702	6.91772440392226	7.08049627909086	7.06424100845199	7.27688219548915
acnB_b0118_at	acnB_b0118_at	9.06748614521299	8.54615135345042	9.27900273907543	8.35813545943813	9.15280511436676	9.11755881788092	8.87447843867811	8.40147549715277	8.57681004123743	8.65188039274964	7.9591278753668	8.43489238017997	8.03726949661578	7.7684558224764	8.205428572262	9.29687712364708
acpD_b1412_at	acpD_b1412_at	5.3752237890172	5.28106401398482	5.92518432817966	5.916716500838	5.43185550844266	5.17092667642047	5.57338635130774	5.57662074797614	5.52796911779629	5.73448297256506	5.95864952859695	5.56164333057504	5.49627324590317	5.35534116591907	5.43504442471438	5.48676237448779
acpP_b1094_at	acpP_b1094_at	11.3211425490024	10.9476029727113	11.4540069568392	11.3662821430699	11.2280789319377	11.1653962659324	11.3672505817124	11.3770667206246	11.436672532905	11.5972185481948	11.3527919661099	11.4690013037409	11.2880046119808	11.4146070937998	11.3190847401726	11.2820798409595
acpS_b2563_at	acpS_b2563_at	6.99971654256376	6.83917809475112	7.09500226690691	6.87826058454723	6.9698238155831	6.89914071464115	7.0201989304579	6.94314523561445	6.91695628582711	6.97610721685367	6.93843870715437	6.8902951478395	6.92973225442971	6.9181688810031	6.901797593453	7.04857810072386
acrA_b0463_at	acrA_b0463_at	7.4258513671966	6.96991233167066	7.49811386432989	7.42682538809344	7.25569490703958	7.61405258462479	7.6329973888236	7.66220902582633	7.33791367827036	7.62551928981712	7.21580737571055	7.7635683794296	7.79582161256234	7.67964485713766	7.80734486832333	7.69839508092417
acrB_b0462_at	acrB_b0462_at	7.85960872432182	7.31100494107235	7.76676327266404	7.79991828387489	7.67564972740214	7.85362460261724	7.8108212643569	7.79044701556636	7.46274715219876	7.76004586309289	7.59721141655723	7.8155956391415	7.84312970412854	7.8411164956474	7.97312738790048	7.81774335975201
acrD_b2470_at	acrD_b2470_at	7.26102657559586	7.01736835685221	6.97890988349439	7.19608738947873	6.92601073647578	7.17866490034041	7.04038304704384	7.05229212232256	6.73710208085354	6.65993289616981	6.92254386051772	6.81844216156632	6.83607722016843	7.03670579228272	7.07694957346252	7.06231918104751
acrE_b3265_at	acrE_b3265_at	5.59786851949888	5.78433413398699	5.72320885250715	5.66845623714575	5.80081022726628	5.92621014444496	5.76588472137855	5.92148550247226	5.78772280875891	5.77201675169841	5.77973215990641	5.82440395478277	5.93543794368097	6.07709949529384	6.00513238681678	5.76702754917644
acrF_b3266_at	acrF_b3266_at	4.28613502903668	4.23829959632062	4.45073716385278	4.43562729383037	4.53899231191399	4.55496821425633	4.51899645211071	4.50397480929242	4.52559806615279	4.45982856569378	4.54568594321134	4.56752469002503	4.68546478126649	4.66703382185299	4.72437992602775	4.50021173560287
acrR_b0464_at	acrR_b0464_at	5.96937157932869	5.37781490448318	5.81283597110246	5.69836609083345	5.92900408749025	6.07153497294988	6.10258295782596	5.88731844127141	5.76151459876158	5.78929573030882	5.72893203328728	6.00679633217116	5.99161250251395	5.860025250216	5.86673736342152	6.12108040936424
acs_b4069_at	acs_b4069_at	6.29430803076329	6.09963196459441	6.28458375414686	6.331266220675	6.26032512797464	6.45788297016202	7.1069249216084	6.17000773838853	6.10621886063392	6.25265515213643	6.0791519059367	6.08116000001838	6.1687643559298	6.33577887882421	6.32265168176242	6.76054335294804
ada_b2213_at	ada_b2213_at	6.83494767915055	6.86648398529327	6.70791962177589	6.74176147677563	6.76190099638374	6.77200292204553	6.7318831246008	6.77382638746989	6.64943876053956	6.5578658031687	6.73488211785664	6.55405894078188	6.70674115737284	6.73095011642159	6.83149787777243	6.73876782341565
add_b1623_at	add_b1623_at	7.50466696523314	7.52849221055058	7.79872541354745	7.80467251996361	7.45504488887364	7.48413395906477	7.7031424044052	7.27726805228257	7.59798865707019	7.74512136582452	7.58952427170613	7.50539836413916	7.12867951074327	7.03333182560804	7.15815772864378	7.80097102846792
adhC_b0356_at	adhC_b0356_at	7.25775510483516	7.25834000265662	7.3716688676801	7.13140380422908	7.72603156534029	7.4341681019706	7.48749723924228	7.44480053022533	7.3283679725504	7.24019891765422	7.08622314264354	7.59513321407545	7.44063198250739	7.18761885721721	7.50612524663296	7.43754679872413
adhE_b1241_at	adhE_b1241_at	8.02164169704363	8.70578419728456	7.67962920447309	8.36622312684198	8.23060367804136	9.3535214156014	8.13506138368658	7.74877552541627	8.5509579816597	8.04115863763766	8.65760800071516	8.5231987261757	7.94635802358106	7.79730757377887	7.5480075317726	8.05967058275713
adhP_b1478_at	adhP_b1478_at	6.10367911124034	7.51442010448639	6.39579458618175	7.25960953783375	6.18584234810176	5.97642777269812	5.87665735351852	5.90051451937711	7.32663647851464	6.76807988256944	7.70436218921106	6.34040676770487	5.88420876681818	5.85075941164707	5.64185503836819	5.97330552794698
adiA_b4117_at	adiA_b4117_at	6.02533005214388	5.98498639350909	6.00146788960945	6.01743094164496	5.75404377747088	6.00770711870705	6.06130576306854	5.97874436166904	5.63093660625392	5.74012886344556	5.90964717880717	5.88779586003291	5.89345022877696	6.08763970671521	6.02789129209709	5.95532124814087
adiY_b4116_at	adiY_b4116_at	5.05099828863817	4.94721065292778	4.76835693714817	4.8360293936934	4.87984815688048	4.76011330036034	5.02197418931071	4.60338135762416	4.40692609961171	4.37411851660522	4.67958949848326	4.67171840149851	4.58242097300272	4.65391783085862	4.88485674624579	4.69367266163176
adk_b0474_at	adk_b0474_at	7.85428746354794	6.57758449048261	7.54926782770866	7.10355048491912	8.18715533544674	7.39209478402816	7.46624677936574	8.04828418080366	7.95061394109136	8.12054000802362	7.62766957615244	8.22555910799807	8.30835989611599	8.57378030096128	8.5422904430077	7.35961800031796
aefA_b0465_at	aefA_b0465_at	6.39324627232103	6.02167151907743	6.36698591914581	6.28170059944746	6.49790525241634	6.31602495392605	6.36540231867307	6.4203636535418	6.2698211895962	6.55744732634883	6.52435299035281	6.67628167380356	6.45296263531556	6.55166582158945	6.73450275755876	6.43359643696651
aer_b3072_at	aer_b3072_at	7.66596548201804	7.4560170769287	7.50754979816434	7.65040800173551	7.47607779482573	7.44137737681931	7.43164880858472	7.66168408082006	7.41536095509376	7.36312024026737	7.36206001726519	7.39665236994638	7.36111852998779	7.42892483229861	7.57500472677088	7.43361516082427
AFFX-BioB-5_at	AFFX-BioB-5_at	7.87507082123483	8.52378938024436	7.97929592221623	8.4162892618546	8.13223053703404	8.06996271203107	7.90305097282112	7.88455083502296	7.52244087262299	7.28168236309808	7.3520900490182	7.61438589278153	7.8258907254549	7.71803084571477	7.59064527919612	7.48411006512552
AFFX-BioC-3_at	AFFX-BioC-3_at	5.54880414420298	5.6841839942649	5.92678861733556	5.62548282920955	5.45274635305126	5.98101331535596	6.12682956215413	5.77033650675521	5.7178787085729	5.90993280153384	5.83333420993572	5.73097756345872	6.00810094362168	6.20841991187115	5.58487949277638	5.77234732844813
AFFX-CreX-3_at	AFFX-CreX-3_at	3.96434233138861	3.98698464845341	4.52306490782838	3.95604771177445	4.28543220885266	4.53863048728185	4.52396347979268	4.22926512991035	4.66453349929408	4.6000141343837	4.68191182731426	4.44138427571262	4.92611981437983	4.87927023447604	4.46922105251894	4.71265281020198
AFFX-CreX-5_at	AFFX-CreX-5_at	3.33402786708521	3.29035455586234	3.66948365367298	3.35133055126772	3.53788991928607	3.53590493931185	3.71661509872658	3.49906443747842	3.8283156675724	3.84270725081525	4.00118632694989	3.71200297955539	4.00435764899106	4.13075927052002	4.04171899366595	4.04592210988944
AFFX-DapX-3_at	AFFX-DapX-3_at	3.65444572165544	3.58897617600856	3.78968068987036	3.46412519492179	3.73611272759955	3.90488476166507	3.8026346271467	3.68491793666659	3.88364957935327	3.89427700459308	4.04264620733124	3.78976409783126	3.89974747534191	4.11253835187604	3.92183939477713	3.6925852588612
